categoria,texto
A,Conselho de Ensino  Pesquisa e Extensão 1  Genérica Conepex 
A,Conselho Superior 1  Genérica Atualização CONSUP 
A,Conselho de Câmpus 1  Genérica Conselho de Câmpus do Câmpus 
A,Conselho de Câmpus 2  Genérica Atualização Conselho de Câmpus do Câmpus 
A,Conselho de Câmpus 3  Genérica Secretaria do Conselho de Câmpus do Câmpus 
B,Comissão Permanente de Pessoal Docente (CPPD) 1  Genérica Comissão Permanente de Pessoal Docente CPPD 
B,Comissão Própria de Avaliação (CPA) 1  Genérica Atualização CPA 
B,Comissão de Ética (CE) 1  Genérica Comissão de Ética 
B,Comissão Interna de Supervisão do Plano de Carreira dos Cargos Técnico-Administrativos (CIS) 1  Genérica Atualização CIS 
B,Comissão Permanente de Políticas da Igualdade Étnico-Racial (CPPIR) 1  Genérica CPPIR LOCAL Comissão Local de Políticas de Promoção da Igualdade Étnico-Racial
B,Comissão Permanente de Políticas da Igualdade Étnico-Racial (CPPIR) 2  G  Comissão Permanente de Políticas de Promoção da Igualdade Étnico-Racial - CPPIR Comissão Local de Políticas de Promoção da Igualdade Étnico-Racial
B,Comissão Permanente de Gestão da Proteção de Dados Institucionais (CPGPD) 1  Genérica Comissão 
B,Comitê de Ética em Pesquisa (CEP) 1  Genérica Atualização CEP 
B,Comitê de Ética em Pesquisa (CEP) 2  Genérica Comitê de Ética em Pesquisa 
B,Comitê Gestor da Segurança da Informação e das Comunicações (CGTI) 1  Genérica Comissão 
B,Comitê Gestor da Segurança da Informação e das Comunicações (CGSIC) 1  Genérica Comitê CGSIC 
B,Comitê de Governança  Riscos e Controles 1  Genérica Atualização Comitê de Governança  Riscos e Controles 
B,Comitê Gestor Geral de Acompanhamento de Egressos 1  Genérica Atualização Comitê Egressos Comitê Gestor Local de Acompanhamento de Egressos
B,Comitê Gestor Geral de Acompanhamento de Egressos 2  Genérica Atualização Comitê Gestor Egressos Uruaçu Comitê Gestor Local de Acompanhamento de Egressos
B,Comissão de Avaliação do Servidor em Estágio Probatório (CASEP) 1  Genérica Comissão de Acompanhamento do Servidor em Estágio Probatório 
B,Comissão de Avaliação do Servidor em Estágio Probatório (CASEP) 2  Genérica Atualização Comissão Servidores Estágio Probatório 
B,Comissão de Avaliação do Servidor em Estágio Probatório (CASEP) 3  Genérica Recondução membros comissão Acompanhamento Est  Probatório 
B,Núcleo de Base do Observatório do Mundo do Trabalho 1  Genérica Núcleo de Base do Observatório do Mundo do Trabalho 
B,Comissão Permanente Assistência Estudantil e Núcleo 1  Genérica Atualização Comissão 
B,Comissão Permanente Assistência Estudantil e Núcleo 2  Genérica NÚCLEO LOCAL COMISSÃO ASSISTÊNCIA ESTUDANTIL 
C,Núcleo Docente Estruturante 1  Genérica Revogação Núcleo Docente Estruturante (NDE) 
D,Conselho Departamental  
E,Comissão Banca Promoção à Classe Titular 1  Comissão Banca Promoção à Classe Titular Comissão Especial de Avaliação de Promoção à Classe Titular
E,Comissão Banca Promoção à Classe Titular 2  Genérica Comissão de Avaliação para promoção à Classe Titular Comissão Especial de Avaliação de Promoção à Classe Titular
E,Comissão Responsável pela Sistematização Local do Plano Diretor 2  G  Atualização Comissão Plano Diretor 
E,Comissão de Processo Acadêmico Disciplinar 1  Genérica Alterar comissão Processo Acadêmico 
E,Comissão Responsável pela Gestão da Conservação e do Desfazimento de Livros Didáticos 1  Genérica Atualização Comissão Desfazimento de Livros 
E,Comissão Responsável pela Gestão da Conservação e do Desfazimento de Livros Didáticos 2  Genérica Comissão Gestão da Conservação e Desfazimento de Livros 
E,Comissão Permanente de Desfazimento de Bens Móveis Inservíveis de Uso 1  Genérica Atualização Comissão Desfazimento de Bens 
E,Comissão Programa Institucional de Incentivo à Participação em Eventos Científicos e Tecnológicos 1  Genérica Atualização Comissão PIPECT 
E,Comissão do Centro de Referência e Pesquisa e Inovação do IFG (CiteLab) 1  Genérica Atualização Comissão Implantação CITELAB Comissão responsável pela elaboração do regulamento e pela Implantação do Centro de Referência e Pesquisa e Inovação do IFG
E,Comissão Central de Concurso Público 1  Genérica Comissão 
E,Comitê Interno do Programa Institucional de Iniciação Científica e Tecnológica do IFG 1  Genérica Comissão 
E,Comissão para criação de um Escritório de Captação de Recursos 1  Genérica Comissão 
E,Comissão Curso de Mestrado Profissional em Educação de Jovens e Adultos 1  Genérica Comissão Comissão responsável por estudar e elaborar a Proposta de Curso de Mestrado Profissional em Educação de Jovens e Adultos
E,Comissões Eleitorais Locais 1  Genérica Comissão comporem as Comissões Eleitorais Locais
E,Comitê de Mitigação e Biossegurança do IFG 1  Genérica Comissão 
E,Comissão de Assessoramento em Propriedade Intelectual e Inovação 1  Genérica Comissão Assessoramento Propriedade Intelectual e Inovação 
E,Comissão Banca Examinadora 1  Genérica Comissão Banca Examinadora 
E,Comissão Especial de Licitação - RDC - CEL/RDC 1  Genérica Comissão Especial de Licitação - RDC - CEL/RDC 
E,Comissão Manual de Gestão Patrimonial 1  Genérica Comissão Manual de Gestão Patrimonial  Comissão responsável por atualizar o Manual de Gestão Patrimonial do IFG
E,Comissão Módulo Plano de Trabalho Docente SUAP 1  Genérica Comissão Módulo Plano de Trabalho Docente SUAP comissões locais de Implantação do Módulo Plano de Trabalho Docente do SUAP
E,Comissão migração do Q-Acadêmico para SUAP 1  Genérica Comissão migração do Q-Acadêmico para SUAP  migração do sistema de gestão acadêmica Q-Acadêmico para o SUAP
E,Comissão organizadora Processo Seletivo para tutores presenciais 1  Genérica Comissão Organizadora Comissão organizadora responsável pela condução do Processo Seletivo para tutores presenciais
E,Comissão Organizadora Executiva dos Jogos 1  Genérica Comissão Organizadora Executiva JIF 
E,"Comissão Organizadora do Processo Seletivo para Coordenação Geral e Coordenação
Adjunta do Sistema Universidade Aberta do Brasil (UAB) 1  Genérica Comissão Organizadora edital 31/2021 UAB/IFG "
E,"Comissão Organizadora do Processo Seletivo para Coordenação Geral e Coordenação
Adjunta do Sistema Universidade Aberta do Brasil (UAB) 2  Genérica Comissão Organizadora UAB/IFG "
E,Comissão de Verificação dos Candidatos Autodeclarados Negros 1  Genérica Comissão Verificação Candidatos Autodeclarados Negros 
E,Subcomissão Permanência e Êxito 1  Genérica Revogação Subcomissão Permanência e Êxito Permanência e Êxito dos Estudantes
E,Representantes locais da Comissão de Ética do IFG 1  Genérica Representantes Locais da Comissão de Ética 
F,"Processo Administrativo Disciplinar e Sindicância 1  Comissão PAD Discente Prorrogar Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 2  PAD Prorrogar - Rito Sumário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 3  Comissão PAD Discente Designar Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 4  PAD Prorrogar - Rito Ordinario Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 5  Comissão PAD Reconduzir - Rito Ordinário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 6  Genérica Prorroga Pad Discente Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 7  Genérica PAD Reconduzir Comissao Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 8  Genérica Alteração PAD         Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 9  Comissão PAD Designar Rito Sumário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 10  Comissão PAD Reconduzir Rito Sumário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 11  Genérica Alteração Comissão PAD Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 12  Genérica Prorrogação PAD - Ordinário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 13  Genérica Alteração de Comissão de PAD Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 14  Genérica Alterar Pad Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 15  Comissão PAD Designar - Rito Ordinário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 16  Genérica Alterar comissão SINDICÂNCIA Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 17  Genérica Designar Comissão PAD - Ordinário Disciplinar
Sindicância Investigativa"
F,"Processo Administrativo Disciplinar e Sindicância 18  Reconduzir Comissão PAD Discente Disciplinar
Sindicância Investigativa"
G,"Fiscal de contrato 1  Genérica Alteração Fiscal de contrato Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 2  Comissão Fiscal de Contrato Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 3  Genérica Fiscal de contrato Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 4  Genérica Retificação Fiscal de Contrato Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 5  Genérica Fiscal de contrato Torino Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 6  Genérica Fiscal contrato Erica serviços Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"
G,"Fiscal de contrato 7  Genérica Fiscal Contrato Murano Fiscais
para gerenciarem  acompanharem e fiscalizarem a execução"